GameID,Date,Year,Home_team,Away_Team,Home_winner?,Away_Winner?,Ratio A/T,APG,BKPG,RPG DEF,FG%,OPP FG%,FT%,RPG OFF,PFPG,OPP RPG,RPG,REB MAR,OPP PPG,PPG,SCR MAR,STPG,Pct (W/L),3FG% OPP,3FG%,TO MAR
71150a8e-2e6a-4207-a286-4533e3df0469,11-10-2017,2017,Georgia Tech,UCLA,FALSE,TRUE,-0.24,-2.2,1.3,-5.2,-3.5,0.6,-0.7,0.23,-1.2,-2.4,-4.9,-2.6,-8.2,-15.5,-7.4,1.3,-23,3.3,-6.3,-1.6
0461e7d4-0e4c-453b-a41c-96cd7592b12e,11-11-2017,2017,California,UC Riverside,FALSE,TRUE,-0.24,-2.7,1.7,-2.75,0.4,5.7,-2.7,3.31,0.3,-3.6,0.5,4.3,7.8,2.4,-5.4,0.8,-4,6.9,-2.4,4.3
a8e4185e-aad7-46fd-b54c-54fa85d2b70d,11-11-2017,2017,Oregon,Coppin St.,TRUE,FALSE,0.55,4.8,1.6,-0.56,9.8,0.6,2.7,1.8,-0.5,-9.5,1.2,10.8,-2.1,17.5,19.6,1.5,48.3,1.9,5.2,-1.5
3279a6cc-247f-4f32-bef4-58d0199e1af3,11-11-2017,2017,Hawaii,Ark.-Pine Bluff,TRUE,FALSE,0.2,2.1,-2.1,2.93,0.5,0.8,1.2,0.9,0,-6,3.8,9.8,-2.4,4.2,6.6,-2.3,16.7,0.3,0.1,0
1e1ffbb1-8c2f-49f8-adf4-66c6ee98abe7,11-11-2017,2017,Fairfield,Penn,TRUE,FALSE,-0.14,-0.6,0.1,-3.15,-1.9,4.1,5.1,0.48,2.9,1.6,-2.6,-4.2,8.3,0,-8.3,0.5,-21.2,9.8,-1.2,4.5
9b800c43-ed76-43f9-b103-861691e778c8,11-11-2017,2017,FGCU,Illinois State,TRUE,FALSE,0.01,1.1,-1.2,1.83,7,-0.3,5.7,0.9,-1.8,-6.1,2.7,8.8,-1.4,9.7,11.1,0.8,11.2,1.5,2.2,-1.4
5863821c-7817-46a7-bcd8-825d5c3c1114,11-11-2017,2017,Buffalo,Canisius,TRUE,FALSE,0.06,-0.2,1.2,3.34,0.9,-1.8,-1.2,1.76,2.1,2.5,5.1,2.6,5.1,8.3,3.3,-0.7,11.4,0.7,2.2,4.7
ca505a2e-4fd3-451c-a0b6-25dd00d3b570,11-11-2017,2017,Bradley,IUPUI,TRUE,FALSE,0.11,0.7,0.6,2.52,0.6,-6.5,4.2,-0.65,0.2,-0.7,1.8,2.6,-8,-0.8,7,-0.3,23.9,-1.7,-0.1,-0.1
12942d75-249e-48f5-b261-ac29b2eb5d59,11-11-2017,2017,Quinnipiac,Dartmouth,TRUE,FALSE,-0.07,-1.1,-0.6,0.94,-2.6,-0.3,-0.8,2.3,1.6,2.5,3.2,0.8,3.7,3.4,-0.3,-0.1,10.5,4.7,-2,2.7
de442bfe-04c0-40d6-99bc-8e6ead46fb91,11-11-2017,2017,Ohio,Alabama A&M,TRUE,FALSE,0.42,3.3,1.7,5.03,4.6,-4.6,6.5,-2.46,-0.2,2.4,2.6,0.2,-0.5,14.9,15.3,2.7,35.5,-6,6.6,6.2
b01909db-3762-459b-bb47-34e2e35f4375,11-11-2017,2017,La Salle,St. Peter's,TRUE,FALSE,0.2,1,-0.4,2.25,0.9,3.9,6.1,0.03,-1.7,1.3,2.3,1,7.8,7.7,0,-0.7,-3.2,5.2,-0.7,0.3
88c2b50a-9e8d-4ce7-9ce0-c2998cfeef6b,11-11-2017,2017,DePaul,Notre Dame,FALSE,TRUE,-0.38,0.6,-0.6,-1.05,-1.5,1.6,-5,1.68,4.7,0.4,0.6,0.2,5.2,-3,-8.2,0.7,-22.8,2.1,-4.8,-1.5
0b047d4e-09aa-4da9-93d7-37f01b7210b1,11-11-2017,2017,UC Santa Barbara,North Dakota St.,TRUE,FALSE,0.38,1.8,1.3,-0.6,-0.5,0.4,-6.4,2.94,-0.6,0.8,2.4,1.6,-1.7,1.4,3,0.3,25,0,0.3,-0.9
2b4763bd-31ab-49fe-b7ce-f3b3e06d4bc1,11-11-2017,2017,Duquesne,St. Francis (NY),TRUE,FALSE,0.08,0.4,1.8,0.65,1.2,-1.8,-2.7,1.51,-2.7,-3.9,2.2,6,-5.8,-0.5,5.4,-1.5,8.1,-0.3,0.4,-1.1
42a11128-6bd9-4e19-8b10-be9bb3419b3c,11-11-2017,2017,NJIT,Wagner,FALSE,TRUE,0.07,0.6,-0.7,-1.18,2.1,4.9,-2.7,-2.49,-3.5,0.9,-3.7,-4.6,4.8,0.7,-4.1,1.6,-23,0.3,1.1,-3.3
ca4eb30f-81cc-4771-8bed-76660b010e03,11-11-2017,2017,Akron,Cleveland State,TRUE,FALSE,-0.04,0.1,-0.1,1.23,0.1,0.5,-0.7,1.85,3,-3.4,3,6.5,0.6,3.2,2.4,-0.7,9.5,0.1,1.7,-2.8
35da7b25-57ef-4ec5-8aaf-6ce21db4a3e2,11-11-2017,2017,Duke,Utah Valley,TRUE,FALSE,0.25,1.4,0.9,0.02,0.9,-0.8,-3.2,2.97,-0.9,1.4,3,1.5,1.7,6.3,4.5,1.4,10.8,0,-1.4,-1.8
2fbd4d57-8f2c-4c02-a8e5-bc970a0bc72a,11-11-2017,2017,Toledo,Saint Joseph's,TRUE,FALSE,-0.06,1.6,1.2,-1.06,4.4,1.7,5,0.35,0.4,-3.5,-0.7,2.8,2.3,4.9,2.7,-2.6,17.6,0.6,6.4,-2
6e5ce1da-55c5-4b7f-9f6b-7878d7d8a3c7,11-11-2017,2017,Michigan,North Florida,TRUE,FALSE,0.51,-0.5,-0.7,-0.79,1.2,-5.1,-9.9,-1.04,0.4,-7.6,-1.8,5.8,-23.8,-7.2,16.5,1.2,38.1,-1.4,-2.1,-0.5
